Code_unité,Type_d'objet,Version,id_old,id,name_latin,Nom_arabe,Inscrits,Votants,V_exprm,V_nuls,V_blancs,CAND_01,CAND_02,CAND_03,CAND_04,CAND_05,CAND_06,CAND_07,CAND_08,CAND_09,CAND_10,CAND_11,CAND_12,CAND_13,CAND_14,CAND_15,CAND_16,CAND_17,CAND_18,CAND_19,CAND_20,CAND_21,CAND_22,CAND_23,CAND_24,CAND_25,CAND_26,CAND_27,Total_T1,Erreur
8020303301,bureau de vote,2014,TN1BB,TN24B,El Aroussa,م إبتدائية باطن الزرايب - الرّميــل  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,0,0,1,0,0,15,1,1,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,28,51,
8020303401,bureau de vote,2014,TN1BB,TN24B,El Aroussa,م إبتدائية عين بوسلامة - الرّميــل  مكتب 1,N/A,N/A,N/A,N/A,N/A,1,0,0,1,0,0,27,5,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,7,0,3,57,105,
8020303501,bureau de vote,2014,TN1BB,TN24B,El Aroussa,م إبتدائية الرّميــل   مكتب 1,N/A,N/A,N/A,N/A,N/A,0,0,0,1,0,0,8,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,40,55,
8020403601,bureau de vote,2014,TN1BB,TN24B,El Aroussa,م إبتدائية مصراطة   مكتب 1,N/A,N/A,N/A,N/A,N/A,0,0,1,0,0,0,20,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,6,0,5,38,73,
8020503701,bureau de vote,2014,TN1BB,TN24B,El Aroussa,م إبتدائية سيدي عياد   مكتب 1,N/A,N/A,N/A,N/A,N/A,0,1,0,2,1,2,99,13,3,0,2,0,3,2,0,0,1,2,1,0,1,0,2,51,2,7,85,280,
8030304201,bureau de vote,2014,TN1B5,TN245,El Krib,م إبتدائية الدخانية الجديدة  مكتب 1,N/A,N/A,N/A,N/A,N/A,1,0,1,5,0,0,112,5,0,0,2,0,2,3,1,2,1,2,1,0,4,0,3,17,0,11,29,202,
8030304301,bureau de vote,2014,TN1B5,TN245,El Krib,م إبتدائية الدخانية القديمة  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,25,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,4,39,
8030304401,bureau de vote,2014,TN1B5,TN245,El Krib,م إبتدائية العالية - الدخانية  مكتب 1,N/A,N/A,N/A,N/A,N/A,1,2,0,4,0,1,61,5,1,0,2,0,3,1,1,1,0,1,0,0,0,0,1,8,0,12,22,127,
8030504801,bureau de vote,2014,TN1B5,TN245,El Krib,م إبتدائية الخنقة الكريب - حمام بياضة الجنوبية  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,1,0,1,0,0,56,5,1,0,0,2,1,0,0,0,0,1,0,2,1,0,0,4,0,5,4,84,
8030605201,bureau de vote,2014,TN1B5,TN245,El Krib,م إبتدائية المهيريس الكريب - برج مسعودي الشمالية  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,135,4,1,0,1,1,2,0,2,0,0,2,0,0,4,0,0,23,1,17,21,214,
8030705301,bureau de vote,2014,TN1B5,TN245,El Krib,م إبتدائية أولاد طالب - برج مسعودي الجنوبية  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,63,6,0,0,3,0,0,1,0,2,1,0,0,0,1,1,0,8,0,6,26,118,
8030705501,bureau de vote,2014,TN1B5,TN245,El Krib,م إبتدائية مدين - برج مسعودي الجنوبية  مكتب 1,N/A,N/A,N/A,N/A,N/A,1,0,0,4,0,0,138,14,0,1,1,0,2,0,2,0,0,2,0,0,1,0,1,25,0,6,38,236,
8060108401,bureau de vote,2014,TN1B3,TN243,Bou Arada,م إبتدائية بيجقة - أحواز بوعرادة  مكتب 1,N/A,N/A,N/A,N/A,N/A,2,1,0,2,2,1,69,7,1,1,2,0,3,3,0,3,1,1,3,0,1,0,1,21,1,7,57,190,
8110317501,bureau de vote,2014,TN1B7,TN247,Makthar,م إبتدائية القرعة  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,1,0,1,0,0,49,3,1,0,1,0,3,0,0,0,1,1,0,0,0,0,0,9,0,5,82,157,
11040105501,bureau de vote,2014,TN158,TN158,Hammam El Guezaz,م إبتدائية كركوان - حمام الغزاز  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,0,2,2,0,4,113,10,0,1,1,0,6,0,0,1,0,2,0,0,7,0,0,19,1,5,23,197,
11040305901,bureau de vote,2014,TN158,TN158,Hammam El Guezaz,م إبتدائية دار دبوس الرياض - حارة الشعراء  مكتب 1,543,317,312,4,2,2,0,2,3,0,0,162,36,0,0,7,0,6,1,0,0,0,1,0,1,2,1,1,25,0,19,43,312,
12010100401,bureau de vote,2014,TN15G,TN15G,Hammamet,م إبتدائية تافرنين - سيدي الجديدي  مكتب 1,498,273,268,6,2,1,1,0,3,0,0,182,12,1,0,5,0,2,1,0,1,0,1,1,0,5,1,0,35,1,9,6,268,
12020102502,bureau de vote,2014,TN15D,TN15D,Beni Khaled,م إبتدائية ساحة التحرير - بني خلاد الجوفية  مكتب 2,570,432,417,6,10,1,1,1,1,1,1,287,12,2,1,2,1,7,2,1,1,0,0,2,3,3,0,2,59,1,12,13,417,
12020102504,bureau de vote,2014,TN15D,TN15D,Beni Khaled,م إبتدائية ساحة التحرير - بني خلاد الجوفية  مكتب 4,570,439,427,6,6,1,0,0,4,0,0,216,40,0,0,4,0,7,0,1,2,0,0,0,0,2,0,1,97,0,15,38,428,
14030307101,bureau de vote,2014,TN25A,TN41A,Echrarda,م إبتدائية بئر الوصفان - أولاد فرج اللّه الجنوبية  مكتب 1,447,314,294,15,3,0,0,3,2,2,5,82,6,3,0,2,1,2,2,1,4,2,0,0,0,4,1,1,72,1,73,25,294,
14070316403,bureau de vote,2014,TN255,TN415,El  Oueslatia,م إبتدائية حشاد الوسلاتية - الوسلاتية الغريبة  مكتب 3,547,287,281,6,1,0,0,1,1,0,1,105,28,0,0,3,0,1,0,0,0,0,0,0,0,2,0,1,66,0,14,58,281,
14070316501,bureau de vote,2014,TN255,TN415,El  Oueslatia,م إبتدائية   14 جانفي الوسلاتية - الوسلاتية الغريبة  مكتب 1,459,276,257,15,5,2,0,0,4,2,2,126,7,2,1,4,2,3,3,0,2,1,1,2,2,9,1,0,31,2,26,22,257,
15020201001,bureau de vote,2014,TN268,TN428,El Ayoun,م إبتدائية الشوابيـة - القرين  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,0,0,0,4,1,8,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,47,5,1,19,3,93,
15040104902,bureau de vote,2014,TN262,TN422,Kasserine Sud,م إبتدائية الشرقية-القصرين - البساتين  مكتب 2,570,401,370,28,2,1,0,1,1,3,0,140,8,19,0,1,0,4,0,0,3,1,2,0,0,1,2,34,103,3,16,27,370,
15100818701,bureau de vote,2014,TN266,TN426,Sebiba,م إبتدائية أولاد عيسى - مشرق الشمس  مكتب 1,404,209,205,3,0,0,0,1,0,0,5,84,7,0,2,0,0,1,2,0,1,0,3,2,1,1,0,20,56,0,15,4,205,
15101320201,bureau de vote,2014,TN266,TN426,Sebiba,م إبتدائية الغضابنية - القرعة الحمراء  مكتب 1,N/A,N/A,160,N/A,N/A,0,0,0,0,0,0,68,4,1,0,0,1,0,0,0,0,1,0,1,0,0,0,2,51,0,17,14,160,
16010300501,bureau de vote,2014,TN27B,TN43B,Rgueb,م إبتدائية السعيدة  مكتب 1,588,435,422,10,2,1,0,1,0,3,14,44,2,0,0,0,0,1,1,1,0,3,1,0,1,0,1,1,23,1,321,2,422,
16040209401,bureau de vote,2014,TN27C,TN43C,Ouled Haffouz,م إبتدائية الذويبات - الذويبات الجنوبية  مكتب 1,364,195,186,7,3,0,0,0,1,3,1,66,0,1,1,1,1,1,0,1,1,0,0,1,0,3,0,0,5,0,94,5,186,
16060114101,bureau de vote,2014,TN273,TN433,Jilma,م إبتدائية الفنيدق - جلمة الشرقية  مكتب 1,497,253,245,4,4,1,0,0,0,2,6,52,1,1,1,1,1,1,0,2,2,2,0,0,0,2,1,3,15,0,109,1,204,
16060916302,bureau de vote,2014,TN273,TN433,Jilma,م إبتدائية سيدي علي بن جاء بالله - الحمامة  مكتب 2,515,233,214,19,N/A,0,0,0,0,0,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,120,4,179,
16120229802,bureau de vote,2014,TN277,TN437,Menzel Bouzaine,م إبتدائية هنشير القلال   مكتب 2,477,258,255,1,3,0,0,0,1,1,5,77,1,0,0,5,0,1,0,1,0,1,0,0,0,0,1,0,17,1,135,8,255,
17020202101,bureau de vote,2014,TN34B,TN61B,Sned,م إبتدائية زانوش المحطة السند  مكتب 1,456,260,N/A,N/A,N/A,0,2,1,0,0,2,104,6,0,2,12,0,2,0,0,2,1,0,2,1,4,0,0,40,2,25,34,242,#VALUE!
19010100301,bureau de vote,2014,TN365,TN635,Douz Sud,م إبتدائية طريق الفوار الواحة - دوز الغربية   مكتب 1,N/A,N/A,N/A,N/A,N/A,0,0,0,1,0,0,35,2,1,1,1,0,1,1,0,1,3,2,0,1,2,0,1,263,1,3,1,321,
19010100302,bureau de vote,2014,TN365,TN635,Douz Sud,م إبتدائية طريق الفوار الواحة - دوز الغربية   مكتب 2,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,247,0,1,0,266,
20070107705,bureau de vote,2014,TN215,TN315,Hammam Sousse,م إبتدائية طريق تونس حمام سوسة - المدينة  مكتب 5,N/A,N/A,N/A,N/A,N/A,0,0,0,30,0,0,148,14,0,3,5,0,2,0,0,2,0,1,0,0,1,0,0,84,0,25,33,348,
20080108301,bureau de vote,2014,TN212,TN312,Sousse Riadh,م إبتدائية بورقيبة حي الزهور  مكتب 1,566,417,405,10,4,0,2,3,15,2,1,220,8,1,0,1,0,5,1,1,1,0,0,1,2,2,0,1,96,0,29,13,405,
20150115301,bureau de vote,2014,TN21E,TN31E,Msaken,م إبتدائية النجاح مساكن - التوارة الشمالية  مكتب 1,350,244,241,3,0,1,0,2,11,1,0,60,3,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,149,0,3,6,240,
20150816502,bureau de vote,2014,TN21E,TN31E,Msaken,م إبتدائية النور مساكن - النور  مكتب 2,313,179,177,1,1,0,0,2,10,0,0,35,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,110,0,2,9,176,
21010200403,bureau de vote,2014,TN237,TN337,El Djem,م إبتدائية شارع الهادي شاكر - المرابطين  مكتب 3,516,370,368,1,1,2,0,2,21,0,6,210,6,0,1,2,0,9,2,0,2,0,0,1,0,1,0,1,90,0,3,15,374,
21070411602,bureau de vote,2014,TN23A,TN33A,Sidi Alouane,م إبتدائية أولاد بالليل - البساتين  مكتب 2,308,104,97,1,6,1,0,0,0,0,0,65,0,1,0,0,0,1,0,1,0,0,1,2,0,4,0,1,13,0,5,3,98,
23040310601,bureau de vote,2014,TN248,TN348,Djbeniana,م إبتدائية المجاذبــة - بلتش  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,0,4,5,0,4,57,4,4,0,0,0,5,2,2,5,4,0,3,2,6,2,0,57,1,33,6,206,
24050409205,bureau de vote,2014,TN242,TN342,Sfax Ouest,م إبتدائية سيدي الجيلاني - العالية  مكتب 5,N/A,N/A,N/A,N/A,N/A,1,0,4,2,0,1,97,7,0,0,1,0,3,0,0,22,0,0,0,0,3,0,0,214,0,8,34,397,
24050409206,bureau de vote,2014,TN242,TN342,Sfax Ouest,م إبتدائية سيدي الجيلاني - العالية  مكتب 6,N/A,N/A,N/A,N/A,N/A,1,0,9,2,0,0,85,6,0,0,3,0,9,0,1,15,0,0,0,1,0,0,0,216,0,0,47,395,
25011102207,bureau de vote,2014,TN317,TN517,EL Hamma,م إبتدائية الحامة الغربية - الحبيب ثامر  مكتب 7,N/A,N/A,N/A,N/A,N/A,0,0,1,0,0,0,6,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,273,0,2,1,306,
25020603301,bureau de vote,2014,TN315,TN515,ElMetouia,م إبتدائية الهيشة  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,1,0,1,0,2,26,11,0,0,0,0,3,0,0,0,0,1,1,0,2,1,1,177,0,19,4,250,
25020603401,bureau de vote,2014,TN315,TN515,ElMetouia,م إبتدائية الغرائرة - الهيشة  مكتب 1,171,89,84,4,1,0,1,0,0,2,2,11,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,48,0,11,1,81,
25040104704,bureau de vote,2014,TN313,TN513,Gabes Sud,م إبتدائية المنارة تبلبو  مكتب 4,N/A,N/A,N/A,N/A,N/A,1,0,2,3,0,1,39,17,0,0,1,0,3,0,0,0,0,0,0,0,1,0,1,244,0,3,33,349,
25050206705,bureau de vote,2014,TN312,TN512,Gabes Ouest,م إبتدائية  2مارس 34 بوشمة  مكتب 5,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,1,14,13,0,0,3,0,0,0,0,1,0,0,0,0,1,0,0,257,0,9,1,300,
25060308003,bureau de vote,2014,TN311,TN511,Gabes Medina,م إبتدائية نهج الواحة - المنطقة الثالثة  مكتب 3,N/A,N/A,N/A,N/A,N/A,0,0,1,1,0,4,59,15,0,0,1,0,3,0,0,0,1,0,0,2,0,0,0,316,0,20,9,432,
25060308007,bureau de vote,2014,TN311,TN511,Gabes Medina,م إبتدائية نهج الواحة - المنطقة الثالثة  مكتب 7,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,36,27,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,231,0,40,16,353,
25071011301,bureau de vote,2014,TN320,TN51A,Mareth,م إبتدائية وادي الحجل - كتانة  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,0,2,0,0,1,19,15,1,0,2,0,0,0,1,0,0,1,0,0,3,0,0,84,1,6,0,136,
26010702101,bureau de vote,2014,TN324,TN524,Ben Guerdane,م إبتدائية  14 جانفي الطابعي  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,0,2,2,0,1,46,12,0,0,3,1,1,0,1,1,0,1,0,0,1,0,0,198,3,3,1,277,
26010702201,bureau de vote,2014,TN324,TN524,Ben Guerdane,م إبتدائية هنشير مزطورة - الطابعي  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,0,0,1,0,2,30,10,3,0,3,0,1,2,0,0,2,0,0,0,2,0,0,209,0,7,4,276,
26021106401,bureau de vote,2014,TN323,TN523,Beni Khadech,م إبتدائية الشوامخ - الحميمة  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,0,1,6,0,1,48,10,1,0,1,0,0,0,1,2,0,0,2,0,4,2,5,168,1,1,2,256,
26040809501,bureau de vote,2014,TN326,TN526,Djerba Houmet Souk,م إبتدائية السواني  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,1,0,3,0,0,107,20,1,0,2,1,2,0,1,3,1,0,1,0,6,1,2,148,0,8,13,321,
26050612401,bureau de vote,2014,TN327,TN527,Djerba Midoun,م إبتدائية الحزم - الماي  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,0,2,0,0,0,30,13,0,0,2,0,2,0,0,0,1,0,1,0,4,1,0,107,0,8,16,187,
27030402602,bureau de vote,2014,TN332,TN532,Tataouine Sud,م إبتدائية المزطورية الشمالية تطاوين   مكتب 2,N/A,N/A,N/A,N/A,N/A,0,0,0,1,0,0,12,10,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,151,0,6,2,187,
27031103402,bureau de vote,2014,TN332,TN532,Tataouine Sud,م إبتدائية قصر أولاد دباب تطاوين - المسرب  مكتب 2,N/A,N/A,N/A,N/A,N/A,0,0,0,1,1,2,13,10,0,0,3,0,1,1,0,0,1,2,1,0,1,0,1,233,0,7,1,279,
27031103403,bureau de vote,2014,TN332,TN532,Tataouine Sud,م إبتدائية قصر أولاد دباب تطاوين - المسرب  مكتب 3,N/A,N/A,N/A,N/A,N/A,0,0,1,0,0,0,7,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,179,0,7,0,209,
27040104303,bureau de vote,2014,TN331,TN531,Tataouine Nord,م إبتدائية  20مارس تطاوين - النزهة  مكتب 3,N/A,N/A,N/A,N/A,N/A,1,0,0,0,0,0,14,26,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,221,1,5,0,270,
27040505303,bureau de vote,2014,TN331,TN531,Tataouine Nord,م إبتدائية حي برورمت تطاوين   مكتب 3,N/A,N/A,N/A,N/A,N/A,0,0,0,1,0,0,15,14,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,193,2,9,0,240,
27040705801,bureau de vote,2014,TN331,TN531,Tataouine Nord,م إبتدائية  أبو قاسم الشابي طريق الصمار تطاوين - وادي الغار  مكتب 1,N/A,N/A,N/A,N/A,N/A,1,1,1,2,1,2,30,2,0,0,0,0,3,1,0,2,0,0,0,0,0,1,0,241,0,8,5,301,
27040705901,bureau de vote,2014,TN331,TN531,Tataouine Nord,م إبتدائية العهد الجديد تطاوين - وادي الغار  مكتب 1,N/A,N/A,N/A,N/A,N/A,0,0,0,1,0,2,38,5,1,2,1,0,4,1,3,1,0,0,1,0,0,1,0,236,0,7,1,305,
27040705902,bureau de vote,2014,TN331,TN531,Tataouine Nord,م إبتدائية العهد الجديد تطاوين - وادي الغار  مكتب 2,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,17,3,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,170,1,4,1,200,
27060208901,bureau de vote,2014,TN337,TN537,Remeda,م إبتدائية البشير النبهاني رمادة - رمادة الغربية  مكتب 1,N/A,N/A,N/A,N/A,N/A,1,1,0,1,2,0,89,15,0,0,10,2,1,1,0,4,2,1,2,1,2,0,2,197,0,17,1,352,
